ref,method,n_tiles,diff_mean_Dice,ci95_low,ci95_high,p_one_sided(ref>method),p_two_sided,p_holm_two_sided
SEMI,FREEHAND,81,0.4958782645369959,0.45145547205232084,0.5389193589916244,0.0,0.0,0.0
SEMI,OVAL,81,0.5250976262271267,0.4738792393949878,0.573869696020622,0.0,0.0,0.0
SEMI,ILASTIK,81,0.12176187382608804,0.06667480552095317,0.17974403108129258,0.0,0.0,0.0
SEMI,OTSU,81,0.6322579061187165,0.5922936192153482,0.6685968287686384,0.0,0.0,0.0
SEMI,PORED2,81,0.15217172965257414,0.12223555376187993,0.1858476608339634,0.0,0.0,0.0
SEMI,SAMJ,81,0.5369143100792523,0.48014264396939527,0.5912592195608631,0.0,0.0,0.0
SEMI,UNET,81,0.03486223463181867,0.014086988994190242,0.055667908127455513,0.0006,0.0012,0.0036
SEMI,PLANKSTER,81,0.028081211937768618,0.0077188549783545335,0.04875679947872111,0.0022,0.0044,0.0088
SEMI,60%,81,0.013421924320009779,0.00319919895089261,0.022903895572753564,0.006,0.012,0.012
