Row,Mean,SD,Median,SD_Mean_ratio,Porosity,Pore_Coverage,Total_N_bubbles
60%.tif,0.126479580998421,0.0460658892989159,0.125359565019608,0.36421601759964,0.606783854166667,0.40994833673544,552
FREEHAND.tif,0.180125400424004,0.0745025351643562,0.16714608669281,0.413614820502728,0.169423828125,0.471185441064959,91
GOLD STANDARD.tif,0.160818368196487,0.0905556008219719,0.130812495946884,0.563092399441159,0.290436197916667,0.44885201326506,153
ILASTIK.tif,0.0771408900618553,0.0340460501611233,0.0747499987483025,0.441348941317938,0.18859375,0.3838607864881,388
OTSU.tif,0.108628816902637,0.0552639476954937,0.119658388197422,0.50874113583531,0.795364583333333,0.338580957170652,715
OVAL.tif,0.189790517091751,0.0767934545874596,0.167666792869568,0.404622189581448,0.161126302083333,0.563016277267191,92
PLANKSTER.tif,0.122111245989799,0.0651334151625633,0.136047050356865,0.533394075497389,0.857115885416667,0.39115710431485,707
PORED2.tif,0.18737119436264,0.0775699988007545,0.168705016374588,0.41399105697445,0.149443359375,0.443061539279826,62
SAMJ.tif,0.151574924588203,0.0508486032485962,0.150081723928452,0.335468438376209,0.0745703125,0.419900497512438,54
SEMI.tif,0.234153717756271,0,0.234153717756271,0,0.002294921875,0.704964539007092,1
UNET.tif,0.106612540781498,0.0274530593305826,0.105712465941906,0.257503096064914,0.592890625,0.333014439076391,651
